!NUMBER OF ENERGY LEVELS
41
!NUMBER OF COLL TRANS
820
!NUMBER OF COLL TEMPS
20
!COLL TEMPS
                      5.        10.        20.        30.        40.        50.        60.        70.        80.        90.       100.       200.       300.       500.       700.      1000.      1500.      2000.      2500.      3000.
! UP+ LOW+ COLLRATES(cm^3 s^-1)
    7      1  7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 8.1000E-12 8.5700E-12 9.1300E-12 9.2700E-12 9.2400E-12 9.1400E-12 8.9900E-12 8.7300E-12 8.3700E-12
    7      2  3.2800E-11 3.1600E-11 2.8500E-11 2.6000E-11 2.4200E-11 2.2800E-11 2.1700E-11 2.0800E-11 2.0100E-11 1.9400E-11 1.9100E-11 1.7000E-11 1.5700E-11 1.3800E-11 1.2800E-11 1.2500E-11 1.3200E-11 1.4000E-11 1.4400E-11 1.4300E-11
    7      3  5.6700E-11 5.6500E-11 5.3900E-11 5.1600E-11 4.9900E-11 4.8700E-11 4.7900E-11 4.7200E-11 4.6500E-11 4.5900E-11 4.6050E-11 5.0200E-11 5.5300E-11 6.0650E-11 6.5100E-11 6.8500E-11 7.0150E-11 6.9300E-11 6.6800E-11 6.3450E-11
    7      4  6.7600E-11 6.7600E-11 6.3800E-11 5.9700E-11 5.6600E-11 5.4300E-11 5.2500E-11 5.1100E-11 4.9900E-11 4.8900E-11 4.8750E-11 4.8800E-11 4.9100E-11 4.9800E-11 5.0700E-11 5.2600E-11 5.5500E-11 5.6700E-11 5.6100E-11 5.4400E-11
    7      5  9.8300E-11 1.0400E-10 1.0900E-10 1.1300E-10 1.1600E-10 1.1900E-10 1.2100E-10 1.2400E-10 1.2500E-10 1.2700E-10 1.2950E-10 1.5400E-10 1.7200E-10 2.0450E-10 2.3350E-10 2.6800E-10 3.0300E-10 3.1800E-10 3.1850E-10 3.1000E-10
    7      6  2.2900E-10 2.5200E-10 2.8300E-10 3.0100E-10 3.1200E-10 3.2000E-10 3.2600E-10 3.3000E-10 3.3200E-10 3.3300E-10 3.3700E-10 3.5700E-10 3.6100E-10 3.6100E-10 3.5700E-10 3.5100E-10 3.4000E-10 3.2400E-10 3.0600E-10 2.8600E-10
    8      1  3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.3100E-12 2.9600E-12 2.5100E-12 2.3100E-12 2.2400E-12 2.3800E-12 2.5600E-12 2.6500E-12 2.6700E-12
    8      2  1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.6200E-11 1.7100E-11 1.8300E-11 1.8800E-11 1.9000E-11 1.8900E-11 1.8600E-11 1.8100E-11 1.7300E-11
    8      3  2.7700E-11 2.7800E-11 2.7400E-11 2.6500E-11 2.5600E-11 2.4800E-11 2.4200E-11 2.3500E-11 2.2900E-11 2.2400E-11 2.2100E-11 2.0200E-11 1.8600E-11 1.6300E-11 1.5200E-11 1.5000E-11 1.6000E-11 1.7200E-11 1.7700E-11 1.7700E-11
    8      4  4.3400E-11 4.5100E-11 4.6400E-11 4.6700E-11 4.6700E-11 4.6700E-11 4.6600E-11 4.6500E-11 4.6300E-11 4.5900E-11 4.6550E-11 5.3300E-11 5.9500E-11 6.8500E-11 7.3600E-11 7.7500E-11 7.9400E-11 7.8400E-11 7.5500E-11 7.1700E-11
